Name,lat,lng
Tufts,42.349598,-71.063541
"Where: MGH | What: Pristina SenographeTM 3D | Who: Dr. Connie Lehman, RML: Shari Hirschfeld",42.361542,-71.0688334
Yale,41.303229,-72.933826
Cornell,40.764991,-73.95479
Brown,41.819064,-71.408277
UVM,44.47972,-73.194072
Where: Maine Medical Center | What: 5T CT,43.653243,-70.276184
Buffalo,42.886447,-78.87836
North Maine,47.140694,-68.269043
Brigam,42.33597,-71.10766
